Raj_label_ggseg,FS_LUT,FS_label
bankssts_left,1001,ctx-lh-bankssts
caudalanteriorcingulate_left,1002,ctx-lh-caudalanteriorcingulate
caudalmiddlefrontal_left,1003,ctx-lh-caudalmiddlefrontal
cuneus_left,1005,ctx-lh-cuneus
entorhinal_left,1006,ctx-lh-entorhinal
fusiform_left,1007,ctx-lh-fusiform
inferiorparietal_left,1008,ctx-lh-inferiorparietal
inferiortemporal_left,1009,ctx-lh-inferiortemporal
isthmuscingulate_left,1010,ctx-lh-isthmuscingulate
lateraloccipital_left,1011,ctx-lh-lateraloccipital
lateralorbitofrontal_left,1012,ctx-lh-lateralorbitofrontal
lingual_left,1013,ctx-lh-lingual
medialorbitofrontal_left,1014,ctx-lh-medialorbitofrontal
middletemporal_left,1015,ctx-lh-middletemporal
parahippocampal_left,1016,ctx-lh-parahippocampal
paracentral_left,1017,ctx-lh-paracentral
parsopercularis_left,1018,ctx-lh-parsopercularis
parsorbitalis_left,1019,ctx-lh-parsorbitalis
parstriangularis_left,1020,ctx-lh-parstriangularis
pericalcarine_left,1021,ctx-lh-pericalcarine
postcentral_left,1022,ctx-lh-postcentral
posteriorcingulate_left,1023,ctx-lh-posteriorcingulate
precentral_left,1024,ctx-lh-precentral
precuneus_left,1025,ctx-lh-precuneus
rostralanteriorcingulate_left,1026,ctx-lh-rostralanteriorcingulate
rostralmiddlefrontal_left,1027,ctx-lh-rostralmiddlefrontal
superiorfrontal_left,1028,ctx-lh-superiorfrontal
superiorparietal_left,1029,ctx-lh-superiorparietal
superiortemporal_left,1030,ctx-lh-superiortemporal
supramarginal_left,1031,ctx-lh-supramarginal
frontalpole_left,1032,ctx-lh-frontalpole
temporalpole_left,1033,ctx-lh-temporalpole
transversetemporal_left,1034,ctx-lh-transversetemporal
insula_left,1035,ctx-lh-insula
Cerebellum_Cortex_L,8,Left-Cerebellum-Cortex
Thalamus_Proper_L,10,Left-Thalamus-Proper
Caudate_L,11,Left-Caudate
Putamen_L,12,Left-Putamen
Pallidum_L,13,Left-Pallidum
Hippocampus_L,17,Left-Hippocampus
Amygdala_L,18,Left-Amygdala
Accumbens_area_L,26,Left-Accumbens-area
Thalamus_Proper_R,49,Right-Thalamus-Proper
Caudate_R,50,Right-Caudate
Putamen_R,51,Right-Putamen
Pallidum_R,52,Right-Pallidum
Hippocampus_R,53,Right-Hippocampus
Amygdala_R,54,Right-Amygdala
Accumbens_area_R,58,Right-Accumbens-area
bankssts_right,2001,ctx-rh-bankssts
caudalanteriorcingulate_right,2002,ctx-rh-caudalanteriorcingulate
caudalmiddlefrontal_right,2003,ctx-rh-caudalmiddlefrontal
cuneus_right,2005,ctx-rh-cuneus
entorhinal_right,2006,ctx-rh-entorhinal
fusiform_right,2007,ctx-rh-fusiform
inferiorparietal_right,2008,ctx-rh-inferiorparietal
inferiortemporal_right,2009,ctx-rh-inferiortemporal
isthmuscingulate_right,2010,ctx-rh-isthmuscingulate
lateraloccipital_right,2011,ctx-rh-lateraloccipital
lateralorbitofrontal_right,2012,ctx-rh-lateralorbitofrontal
lingual_right,2013,ctx-rh-lingual
medialorbitofrontal_right,2014,ctx-rh-medialorbitofrontal
middletemporal_right,2015,ctx-rh-middletemporal
parahippocampal_right,2016,ctx-rh-parahippocampal
paracentral_right,2017,ctx-rh-paracentral
parsopercularis_right,2018,ctx-rh-parsopercularis
parsorbitalis_right,2019,ctx-rh-parsorbitalis
parstriangularis_right,2020,ctx-rh-parstriangularis
pericalcarine_right,2021,ctx-rh-pericalcarine
postcentral_right,2022,ctx-rh-postcentral
posteriorcingulate_right,2023,ctx-rh-posteriorcingulate
precentral_right,2024,ctx-rh-precentral
precuneus_right,2025,ctx-rh-precuneus
rostralanteriorcingulate_right,2026,ctx-rh-rostralanteriorcingulate
rostralmiddlefrontal_right,2027,ctx-rh-rostralmiddlefrontal
superiorfrontal_right,2028,ctx-rh-superiorfrontal
superiorparietal_right,2029,ctx-rh-superiorparietal
superiortemporal_right,2030,ctx-rh-superiortemporal
supramarginal_right,2031,ctx-rh-supramarginal
frontalpole_right,2032,ctx-rh-frontalpole
temporalpole_right,2033,ctx-rh-temporalpole
transversetemporal_right,2034,ctx-rh-transversetemporal
insula_right,2035,ctx-rh-insula
Cerebellum_Cortex_R,47,Right-Cerebellum-Cortex
