seed,SSE,r
Superiorfrontal,4.880648814210473,0.03180541857658572
Inferiortemporal,3.565247775457609,0.2938835889694089
Cerebellum_Cortex,3.936199797050339,0.21782383013574438
Putamen,4.410114027912346,0.09142646169125913
Precuneus,5.496972917892675,0.037980425686681654
Parsopercularis,5.166245146310771,-0.07785125250082872
Parstriangularis,5.269187384407522,-0.09186571984039829
Bankssts,4.3817157773862,0.1632418150582008
Isthmuscingulate,4.124364596231702,0.18805576494099943
Rostralanteriorcingulate,5.33836004333049,-0.1235963839515972
Superiortemporal,4.657307536891736,0.14097605529738624
Accumbens_area,4.309289762574313,-0.08998161105823144
Thalamus_Proper,4.016117170442679,0.1627921849478007
Amygdala,4.33787322070972,0.051422586472077994
Caudate,4.2535170920676215,0.0783305081814462
Cuneus,6.439355430472084,-0.25923562863537253
Hippocampus,3.976803192008618,0.0976012805158481
Parsorbitalis,4.351222648486139,0.015019529208746704
Caudalanteriorcingulate,4.966402216995167,0.03399410732019356
Paracentral,5.466047472233092,-0.058735786991361595
Pericalcarine,6.437493081272357,-0.11884655649265294
Postcentral,7.068896509067422,-0.33532658868948406
Caudalmiddlefrontal,4.953447707387662,-0.0790079091893404
Frontalpole,5.200729120099352,-0.07958017485606414
Lateraloccipital,5.002299851144458,0.05407112846247193
Lateralorbitofrontal,5.065254870339443,-0.00814970370455592
Lingual,4.475006261227382,-0.033030737074280406
Medialorbitofrontal,4.899504414468641,-0.1605046460645279
Supramarginal,4.463772015651687,0.05198549143852728
Fusiform,5.658073283263536,-0.04839401688632538
Transversetemporal,5.863769254738892,-0.2732521967884414
Middletemporal,4.273977887697047,0.19990618823144665
Parahippocampal,4.734274312288299,0.01872843641595639
Pallidum,4.206017931032957,0.018282186935262745
Insula,4.492414851121586,0.11120048837792694
Precentral,5.449821772237096,-0.016214151576870804
Superiorparietal,4.8739980449480855,0.06684997107886834
Entorhinal,4.2342101382532435,0.1633014460451213
Temporalpole,3.9881478283937146,0.09492875961540277
Posteriorcingulate,4.199852153647245,0.16920198462472666
Inferiorparietal,4.707850794519132,0.08315235307116302
Rostralmiddlefrontal,4.973576118171924,0.06970992779002541
