node,alpha,func_vals
Entorhinal,0.727725743177325,2.8797099201567637
Temporalpole,0.22772574317732497,2.737886431638345
Inferiortemporal,0.977725743177325,10.723558916021842
Amygdala,0.47772574317732497,2.320440870515944
Amygdala,0.10272574317732497,3.1155276144044795
Entorhinal,0.602725743177325,2.2992285087723587
Inferiortemporal,0.852725743177325,3.2691553088654617
Amygdala,0.35272574317732497,2.325226426873991
Amygdala,0.04022574317732497,3.5376414589002683
Inferiortemporal,0.540225743177325,2.39074967624138
Entorhinal,0.790225743177325,3.2769440366239944
Temporalpole,0.29022574317732497,2.482850351265493
Amygdala,0.915225743177325,3.879054229975742
Entorhinal,0.41522574317732497,2.20035436407353
Temporalpole,0.16522574317732497,3.05365538087353
Entorhinal,0.665225743177325,2.5426586721460316
Amygdala,0.19647574317732497,2.694548429332404
Inferiortemporal,0.696475743177325,2.465634246576467
Entorhinal,0.946475743177325,9.180439534799214
Amygdala,0.44647574317732497,2.2917580474421895
Temporalpole,0.821475743177325,3.510345592649152
Entorhinal,0.32147574317732497,2.4333815582199425
Inferiortemporal,0.07147574317732497,2.838245711894427
Amygdala,0.571475743177325,2.5364910552369837
Amygdala,0.883975743177325,3.8529777525181075
Inferiortemporal,0.38397574317732497,2.501088691705825
Entorhinal,0.13397574317732497,3.309000753076383
Amygdala,0.633975743177325,2.7938504837909215
Amygdala,0.008975743177324969,3.867726242310299
Entorhinal,0.508975743177325,2.137346905864442
Temporalpole,0.758975743177325,3.115155544647183
Entorhinal,0.25897574317732497,2.6605095116600324
Entorhinal,0.993350743177325,14.063448021013128
Temporalpole,0.49335074317732497,2.0881001623635638
Entorhinal,0.743350743177325,2.975016141473275
Amygdala,0.24335074317732497,2.547811271370198
Amygdala,0.868350743177325,3.8261740620055398
Entorhinal,0.36835074317732497,2.2975964839520953
Inferiortemporal,0.11835074317732497,2.7625739599326313
Amygdala,0.618350743177325,2.72320143230164
Amygdala,0.805850743177325,3.641577650167437
Inferiortemporal,0.30585074317732497,2.5708723558545943
Entorhinal,0.05585074317732497,3.9441903667460787
Temporalpole,0.555850743177325,2.159688077631654
Amygdala,0.18085074317732497,2.7531977656933355
Entorhinal,0.680850743177325,2.6192401202124946
Inferiortemporal,0.930850743177325,3.8243799099130897
Amygdala,0.43085074317732497,2.285290202381245
Entorhinal,0.962100743177325,12.725704643409376
Temporalpole,0.46210074317732497,2.092225437997138
Entorhinal,0.21210074317732497,2.8726488283401506
Amygdala,0.712100743177325,3.1948619895669994
Temporalpole,0.08710074317732497,3.5639205186251584
Entorhinal,0.587100743177325,2.2564520992574497
Inferiortemporal,0.837100743177325,3.142576165474079
Amygdala,0.33710074317732497,2.3422970829172844
Amygdala,0.14960074317732497,2.8823493472389488
Inferiortemporal,0.649600743177325,2.399943496832436
Entorhinal,0.899600743177325,3.8475385032890705
Amygdala,0.39960074317732497,2.2843786385018103
Amygdala,0.774600743177325,3.508956548289024
Entorhinal,0.27460074317732497,2.6009459222522273
Temporalpole,0.02460074317732497,4.315585090823708
Entorhinal,0.524600743177325,2.147671533983778
Entorhinal,0.12616324317732497,3.3623302561735264
Temporalpole,0.626163243177325,2.3721655827960646
Entorhinal,0.876163243177325,3.77486318905924
Amygdala,0.37616324317732497,2.298646030360817
Amygdala,0.751163243177325,3.397329756981677
Entorhinal,0.25116324317732497,2.692666589667155
Inferiortemporal,0.0011632431773249685,3.3481132009433248
Amygdala,0.501163243177325,2.3534256447256627
Amygdala,0.938663243177325,4.243312316066584
Inferiortemporal,0.43866324317732497,2.4560282125172748
Entorhinal,0.18866324317732497,2.990174631025778
Temporalpole,0.688663243177325,2.680342321850152
Amygdala,0.06366324317732497,3.356636570834337
Entorhinal,0.563663243177325,2.2025444073421063
Temporalpole,0.813663243177325,3.4637099410732635
Entorhinal,0.31366324317732497,2.45670639622822
Amygdala,0.844913243177325,3.770518883460838
Inferiortemporal,0.34491324317732497,2.5373479485699497
Entorhinal,0.09491324317732497,3.588535213022745
Amygdala,0.594913243177325,2.623324269981493
Temporalpole,0.21991324317732497,2.7740161624928437
Entorhinal,0.719913243177325,2.8347415025866773
Inferiortemporal,0.969913243177325,8.513686182411572
Amygdala,0.46991324317732497,2.310205936882129
Amygdala,0.03241324317732497,3.6040051437112246
Inferiortemporal,0.532413243177325,2.395694672848497
Entorhinal,0.782413243177325,3.225546664001534
Temporalpole,0.28241324317732497,2.509174139016251
Amygdala,0.907413243177325,3.87606021036701
Entorhinal,0.40741324317732497,2.2157276305497877
Temporalpole,0.15741324317732497,3.098368628699077
Entorhinal,0.657413243177325,2.507751074181973
Entorhinal,0.860538243177325,3.7045270754458977
Temporalpole,0.36053824317732497,2.260925361581761
Entorhinal,0.11053824317732497,3.4703472301256872
Amygdala,0.610538243177325,2.687974646259705
Amygdala,0.985538243177325,14.213931685895654
Entorhinal,0.48553824317732497,2.1340730198549567
Inferiortemporal,0.735538243177325,2.5706477129494085
Amygdala,0.23553824317732497,2.5712271974079033
Amygdala,0.17303824317732497,2.7838954605569595
Inferiortemporal,0.673038243177325,2.4269829612015945
Entorhinal,0.923038243177325,3.87590681385188
Temporalpole,0.42303824317732497,2.133796933140936
Amygdala,0.798038243177325,3.6101689730279696
Entorhinal,0.29803824317732497,2.512964235334137
Inferiortemporal,0.04803824317732497,2.9033627328898444
Amygdala,0.548038243177325,2.465298206785588
Entorhinal,0.07928824317732497,3.7176838733085273
Temporalpole,0.579288243177325,2.214320921828505
Entorhinal,0.829288243177325,3.528210817910649
Amygdala,0.32928824317732497,2.3551774106301666
Temporalpole,0.954288243177325,10.382508605448123
Entorhinal,0.45428824317732497,2.150918037788869
Inferiortemporal,0.20428824317732497,2.663243172964975
Amygdala,0.704288243177325,3.1534007844991576
Amygdala,0.766788243177325,3.472248887859225
Inferiortemporal,0.26678824317732497,2.6076519937425635
Entorhinal,0.01678824317732497,4.603612469281757
Amygdala,0.516788243177325,2.3866135567576268
Amygdala,0.14178824317732497,2.9182652553713684
Entorhinal,0.641788243177325,2.4395133901064545
Temporalpole,0.891788243177325,3.8297062968224225
Entorhinal,0.39178824317732497,2.2468169390476733
